trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
25,False,"{'a': 0.02, 'e': 0.6065306597126334}",25,0,-89.13524724503316,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.02, 'e': 0.5945205479701944}",20,1,-41.349595693157546,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
27,False,"{'a': 0.02, 'e': 0.5827482523739896}",30,19,2.884349945666601,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.02, 'e': 0.5712090638488149}",25,0,-23.05271769537376,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
29,False,"{'a': 0.02, 'e': 0.559898366565402}",20,0,-40.91730983532374,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
30,False,"{'a': 0.02, 'e': 0.5488116360940264}",25,0,-132.03362365639325,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
31,False,"{'a': 0.02, 'e': 0.5379444375946745}",30,15,-77.3345207550252,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
32,False,"{'a': 0.02, 'e': 0.5272924240430485}",20,0,12.45451275787899,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.02, 'e': 0.5168513344916992}",30,6,-74.09198812504441,"{0: 17, 1: 4, 2: 0, 3: 2, 4: 1}",1
34,False,"{'a': 0.02, 'e': 0.5066169923655895}",25,0,6.94364681867905,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.02, 'e': 0.49658530379140947}",30,0,-86.94124107491947,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.02, 'e': 0.4867522559599717}",25,0,-64.85751261077414,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.02, 'e': 0.4771139155210344}",20,0,-170.4354356386146,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
38,False,"{'a': 0.02, 'e': 0.46766642700990924}",25,15,7.817088807873294,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.02, 'e': 0.4584060113052235}",25,0,22.51081458390751,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,False,"{'a': 0.02, 'e': 0.44932896411722156}",20,0,-17.419509801528584,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
41,False,"{'a': 0.02, 'e': 0.44043165450599925}",25,0,-83.87802094285493,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.02, 'e': 0.43171052342907973}",25,0,11.611879659773265,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.02, 'e': 0.4231620823177488}",35,25,12.680847371010913,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.02, 'e': 0.4147829116815814}",20,6,0.0036750621112082715,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.02, 'e': 0.4065696597405991}",25,5,8.038281286759501,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.02, 'e': 0.39851904108451414}",20,1,11.507261820340227,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.02, 'e': 0.3906278353585211}",20,0,-0.8704970464682189,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.02, 'e': 0.38289288597511206}",20,0,-18.330830182986446,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
49,False,"{'a': 0.02, 'e': 0.37531109885139957}",25,1,21.464942888590453,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.36787944117144233}",25,8,-4.455397473854807,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.02, 'e': 0.3605949401730783}",20,0,-19.37431701997374,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
52,False,"{'a': 0.02, 'e': 0.35345468195878016}",30,7,-40.03117310125491,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
53,False,"{'a': 0.02, 'e': 0.3464558103300574}",20,13,-31.10474274537975,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.02, 'e': 0.3395955256449391}",30,11,12.896147675651784,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.02, 'e': 0.33287108369807955}",20,0,-71.80141438579511,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,13,4.770415795062762,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,0,-28.72753553091365,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.02, 'e': 0.3134861808826053}",25,0,-17.223868993047375,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
59,False,"{'a': 0.02, 'e': 0.30727873860113125}",20,11,18.852388084574955,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.30119421191220214}",25,0,-80.95056180761574,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
61,False,"{'a': 0.02, 'e': 0.2952301669240142}",20,12,9.830668958251815,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.02, 'e': 0.2893842179390506}",25,0,4.841693091423445,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.02, 'e': 0.2836540264997704}",25,11,-71.57757888987562,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
64,False,"{'a': 0.02, 'e': 0.27803730045319414}",20,13,6.021304663330145,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.02, 'e': 0.2725317930340126}",25,0,-2.3391982409170566,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
